"Stock","Beta"
"AAPL",1.27
"MSFT",0.82
"AMZN",1.14
"FB",1.26
"GOOGL",0.99
"GOOG",0.99
"TSLA",2.09
"BRK.B",NA
"JPM",1.19
"JNJ",0.72
"NVDA",1.42
"V",0.98
"PYPL",1.14
"DIS",1.2
"PG",0.41
"UNH",0.76
"HD",1.02
"MA",1.19
"BAC",1.54
"INTC",0.67
"NFLX",0.83
"CMCSA",1.04
"VZ",0.47
"ADBE",0.97
"CRM",1.12
"ABT",0.73
"XOM",1.38
"T",0.73
"WMT",0.48
"TMO",0.81
"CSCO",0.91
"AVGO",1.04
"PFE",0.63
"KO",0.62
"MRK",0.44
"ABBV",0.81
"PEP",0.61
"CVX",1.33
"NKE",0.86
"ACN",1.12
"LLY",0.28
"TXN",1.06
"QCOM",1.36
"MDT",0.73
"MCD",0.62
"NEE",0.19
"COST",0.65
"DHR",0.63
"WFC",1.27
"UNP",1.11
"HON",1.2
"AMGN",0.73
"BMY",0.62
"PM",0.84
"C",1.91
"LIN",0.81
"LOW",1.35
"SBUX",0.86
"ORCL",0.78
"UPS",1.01
"BA",1.63
"NOW",0.99
"RTX",1.02
"CAT",0.95
"INTU",1.01
"AMD",2.2
"MS",1.51
"GS",1.47
"IBM",1.25
"AMAT",1.47
"GE",1.08
"BLK",1.17
"MMM",0.95
"AMT",0.23
"DE",0.98
"TGT",1
"MU",1.25
"CVS",0.82
"ISRG",1.01
"BKNG",1.23
"SCHW",1.07
"CHTR",1.01
"LRCX",1.31
"AXP",1.28
"LMT",0.94
"FIS",0.85
"GILD",0.43
"SPGI",0.95
"MO",0.62
"SYK",0.96
"ZTS",0.64
"TJX",0.98
"ATVI",0.66
"MDLZ",0.62
"PLD",0.78
"CI",0.85
"CB",0.69
"TFC",1.32
"BDX",0.78
"ANTM",1.01
"ILMN",1.02
"ADP",0.73
"PNC",1.35
"TMUS",0.57
"CCI",0.31
"CSX",1.15
"CME",NA
"USB",1.12
"CL",0.62
"COP",1.81
"GM",1.36
"ADSK",1.38
"DUK",0.25
"EL",0.9
"NSC",1.32
"FISV",0.91
"ICE",0.71
"FDX",1.31
"SO",0.43
"EQIX",0.31
"MMC",0.87
"D",0.35
"ADI",1.32
"SHW",1.05
"GPN",1.18
"APD",0.81
"ITW",1.11
"TWTR",0.75
"VRTX",0.64
"COF",1.71
"BSX",NA
"EW",1.02
"AON",0.84
"ECL",1.01
"KLAC",1.26
"EMR",1.58
